CI,Africa/Abidjan,Canonical,0,0,
GH,Africa/Accra,Canonical,0,0,
ET,Africa/Addis_Ababa,Alias,180,180,Africa/Nairobi
DZ,Africa/Algiers,Canonical,60,60,
ER,Africa/Asmara,Alias,180,180,Africa/Nairobi
ML,Africa/Bamako,Alias,0,0,Africa/Abidjan
CF,Africa/Bangui,Alias,60,60,Africa/Lagos
GM,Africa/Banjul,Alias,0,0,Africa/Abidjan
GW,Africa/Bissau,Canonical,0,0,
MW,Africa/Blantyre,Alias,120,120,Africa/Maputo
CG,Africa/Brazzaville,Alias,60,60,Africa/Lagos
BI,Africa/Bujumbura,Alias,120,120,Africa/Maputo
EG,Africa/Cairo,Canonical,120,120,
MA,Africa/Casablanca,Canonical,0,60,
ES,Africa/Ceuta,Canonical,60,120,
GN,Africa/Conakry,Alias,0,0,Africa/Abidjan
SN,Africa/Dakar,Alias,0,0,Africa/Abidjan
TZ,Africa/Dar_es_Salaam,Alias,180,180,Africa/Nairobi
DJ,Africa/Djibouti,Alias,180,180,Africa/Nairobi
CM,Africa/Douala,Alias,60,60,Africa/Lagos
EH,Africa/El_Aaiun,Canonical,0,60,
SL,Africa/Freetown,Alias,0,0,Africa/Abidjan
BW,Africa/Gaborone,Alias,120,120,Africa/Maputo
ZW,Africa/Harare,Alias,120,120,Africa/Maputo
ZA,Africa/Johannesburg,Canonical,120,120,
SS,Africa/Juba,Canonical,180,180,
UG,Africa/Kampala,Alias,180,180,Africa/Nairobi
SD,Africa/Khartoum,Canonical,120,120,
RW,Africa/Kigali,Alias,120,120,Africa/Maputo
CD,Africa/Kinshasa,Alias,60,60,Africa/Lagos
NG,Africa/Lagos,Canonical,60,60,
GA,Africa/Libreville,Alias,60,60,Africa/Lagos
TG,Africa/Lome,Alias,0,0,Africa/Abidjan
AO,Africa/Luanda,Alias,60,60,Africa/Lagos
CD,Africa/Lubumbashi,Alias,120,120,Africa/Maputo
ZM,Africa/Lusaka,Alias,120,120,Africa/Maputo
GQ,Africa/Malabo,Alias,60,60,Africa/Lagos
MZ,Africa/Maputo,Canonical,120,120,
LS,Africa/Maseru,Alias,120,120,Africa/Johannesburg
SZ,Africa/Mbabane,Alias,120,120,Africa/Johannesburg
SO,Africa/Mogadishu,Alias,180,180,Africa/Nairobi
LR,Africa/Monrovia,Canonical,0,0,
KE,Africa/Nairobi,Canonical,180,180,
TD,Africa/Ndjamena,Canonical,60,60,
NE,Africa/Niamey,Alias,60,60,Africa/Lagos
MR,Africa/Nouakchott,Alias,0,0,Africa/Abidjan
BF,Africa/Ouagadougou,Alias,0,0,Africa/Abidjan
BJ,Africa/Porto-Novo,Alias,60,60,Africa/Lagos
ST,Africa/Sao_Tome,Alias,60,60,Africa/Lagos
,Africa/Timbuktu,Alias,0,0,Africa/Abidjan
LY,Africa/Tripoli,Canonical,120,120,
TN,Africa/Tunis,Canonical,60,60,
NA,Africa/Windhoek,Canonical,120,120,
US,America/Adak,Canonical,-60,-540,
US,America/Anchorage,Canonical,-540,-480,
AI,America/Anguilla,Alias,-240,-240,America/Port_of_Spain
AG,America/Antigua,Alias,-240,-240,America/Port_of_Spain
BR,America/Araguaina,Canonical,-180,-180,
AR,America/Argentina/Buenos_Aires,Canonical,-180,-180,
AR,America/Argentina/Catamarca,Canonical,-180,-180,
,America/Argentina/ComodRivadavia,Alias,-180,-180,America/Argentina/Catamarca
AR,America/Argentina/Cordoba,Canonical,-180,-180,
AR,America/Argentina/Jujuy,Canonical,-180,-180,
AR,America/Argentina/La_Rioja,Canonical,-180,-180,
AR,America/Argentina/Mendoza,Canonical,-180,-180,
AR,America/Argentina/Rio_Gallegos,Canonical,-180,-180,
AR,America/Argentina/Salta,Canonical,-180,-180,
AR,America/Argentina/San_Juan,Canonical,-180,-180,
AR,America/Argentina/San_Luis,Canonical,-180,-180,
AR,America/Argentina/Tucuman,Canonical,-180,-180,
AR,America/Argentina/Ushuaia,Canonical,-180,-180,
AW,America/Aruba,Alias,-240,-240,America/Curacao
PY,America/Asuncion,Canonical,-240,-180,
CA,America/Atikokan,Canonical,-300,-300,
,America/Atka,Alias,-60,-540,America/Adak
BR,America/Bahia,Canonical,-180,-180,
MX,America/Bahia_Banderas,Canonical,-360,-300,
BB,America/Barbados,Canonical,-240,-240,
BR,America/Belem,Canonical,-180,-180,
BZ,America/Belize,Canonical,-360,-360,
CA,America/Blanc-Sablon,Canonical,-240,-240,
BR,America/Boa_Vista,Canonical,-240,-240,
CO,America/Bogota,Canonical,-300,-300,
US,America/Boise,Canonical,-420,-360,
,America/Buenos_Aires,Alias,-180,-180,America/Argentina/Buenos_Aires
CA,America/Cambridge_Bay,Canonical,-420,-360,
BR,America/Campo_Grande,Canonical,-240,-180,
MX,America/Cancun,Canonical,-300,-300,
VE,America/Caracas,Canonical,-240,-240,
,America/Catamarca,Alias,-180,-180,America/Argentina/Catamarca
GF,America/Cayenne,Canonical,-180,-180,
KY,America/Cayman,Alias,-300,-300,America/Panama
US,America/Chicago,Canonical,-360,-300,
MX,America/Chihuahua,Canonical,-420,-360,
,America/Coral_Harbour,Alias,-300,-300,America/Atikokan
,America/Cordoba,Alias,-180,-180,America/Argentina/Cordoba
CR,America/Costa_Rica,Canonical,-360,-360,
CA,America/Creston,Canonical,-420,-420,
BR,America/Cuiaba,Canonical,-240,-180,
CW,America/Curacao,Canonical,-240,-240,
